Tag Number,Site,Plot,Species,Surv1,Surv2,Surv3,Surv4,Repr1,Repr2,Repr3,Repr4,Notes,Date:,Date:,Date:,Date:,
1,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,Y,10/22: flowered,4/10/2024,5/29,8/7/2024,10/22/2024,
2,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
3,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,Y,10/22: flowered,4/10/2024,5/29,8/7/2024,10/22/2024,
4,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,Y,10/22: flowered,4/10/2024,5/29,8/7/2024,10/22/2024,
5,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,Y,10/22: flowered,4/10/2024,5/29,8/7/2024,10/22/2024,
6,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
7,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
8,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,Y,10/22: flowered,4/10/2024,5/29,8/7/2024,10/22/2024,
9,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
10,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
11,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
12,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
13,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,Y,10/22: flowered,4/10/2024,5/29,8/7/2024,10/22/2024,
14,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,Y,10/22: flowered,4/10/2024,5/29,8/7/2024,10/22/2024,
15,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,Y,10/22: flowered,4/10/2024,5/29,8/7/2024,10/22/2024,
16,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
17,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,Y,10/22: flowered,4/10/2024,5/29,8/7/2024,10/22/2024,
18,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,Y,10/22: flowered,4/10/2024,5/29,8/7/2024,10/22/2024,
19,15_05,1,Balduina uniflora,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
20,15_05,1,Balduina uniflora,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
21,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,Y,10/22: flowered,4/10/2024,5/29,8/7/2024,10/22/2024,
22,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
23,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,Y,10/22: flowered,4/10/2024,5/29,8/7/2024,10/22/2024,
24,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
25,15_05,1,Balduina uniflora,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
26,15_05,1,Balduina uniflora,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
27,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,Y,10/22: flowered,4/10/2024,5/29,8/7/2024,10/22/2024,
28,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
29,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
30,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
31,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
32,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,Y,10/22: flowered,4/10/2024,5/29,8/7/2024,10/22/2024,
33,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,Y,10/22: flowered,4/10/2024,5/29,8/7/2024,10/22/2024,
